RedFighter,BlueFighter,Date,Location,Winner,WeightClass,Finish,FinishDetails,FinishRound,WinningFIghter,LosingFighter
Tai Tuivasa,Jairzinho Rozenstruik,8/17/24,"Perth, Western Australia, Australia",Blue,Heavyweight,S-DEC,None,3,Jairzinho Rozenstruik,Tai Tuivasa
Li Jingliang,Carlos Prates,8/17/24,"Perth, Western Australia, Australia",Blue,Welterweight,KO/TKO,Punch,2,Carlos Prates,Li Jingliang
Junior Tafa,Valter Walker,8/17/24,"Perth, Western Australia, Australia",Blue,Heavyweight,SUB,Heel Hook,1,Valter Walker,Junior Tafa
Josh Culibao,Ricardo Ramos,8/17/24,"Perth, Western Australia, Australia",Blue,Featherweight,S-DEC,None,3,Ricardo Ramos,Josh Culibao
Casey O'Neill,Luana Santos,8/17/24,"Perth, Western Australia, Australia",Red,Women's Flyweight,U-DEC,None,3,Casey O'Neill,Luana Santos
Jack Jenkins,Herbert Burns,8/17/24,"Perth, Western Australia, Australia",Red,Featherweight,KO/TKO,Punches,3,Jack Jenkins,Herbert Burns
Tom Nolan,Alex Reyes,8/17/24,"Perth, Western Australia, Australia",Red,Lightweight,U-DEC,None,3,Tom Nolan,Alex Reyes
Song Kenan,Ricky Glenn,8/17/24,"Perth, Western Australia, Australia",Red,Welterweight,U-DEC,None,3,Song Kenan,Ricky Glenn
Stewart Nicoll,Jesus Aguilar,8/17/24,"Perth, Western Australia, Australia",Blue,Flyweight,SUB,Guillotine Choke,1,Jesus Aguilar,Stewart Nicoll
Marcin Tybura,Serghei Spivac,8/10/24,"Las Vegas, Nevada, USA",Blue,Heavyweight,SUB,Armbar,1,Serghei Spivac,Marcin Tybura
Damon Jackson,Chepe Mariscal,8/10/24,"Las Vegas, Nevada, USA",Blue,Featherweight,U-DEC,None,3,Chepe Mariscal,Damon Jackson
Danny Barlow,Nikolay Veretennikov,8/10/24,"Las Vegas, Nevada, USA",Red,Welterweight,S-DEC,None,3,Danny Barlow,Nikolay Veretennikov
Chris Gutierrez,Quang Le,8/10/24,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Chris Gutierrez,Quang Le
Yana Santos,Chelsea Chandler,8/10/24,"Las Vegas, Nevada, USA",Red,Women's Bantamweight,U-DEC,None,3,Yana Santos,Chelsea Chandler
Toshiomi Kazama,Charalampos Grigoriou,8/10/24,"Las Vegas, Nevada, USA",Red,Bantamweight,SUB,Triangle Choke,2,Toshiomi Kazama,Charalampos Grigoriou
Karol Rosa,Pannie Kianzad,8/10/24,"Las Vegas, Nevada, USA",Red,Women's Bantamweight,U-DEC,None,3,Karol Rosa,Pannie Kianzad
Jhonata Diniz,Karl Williams,8/10/24,"Las Vegas, Nevada, USA",Red,Heavyweight,U-DEC,None,3,Jhonata Diniz,Karl Williams
Youssef Zalal,Jarno Errens,8/10/24,"Las Vegas, Nevada, USA",Red,Featherweight,SUB,Rear Naked Choke,1,Youssef Zalal,Jarno Errens
Stephanie Luciano,Talita Alencar,8/10/24,"Las Vegas, Nevada, USA",Red,Women's Strawweight,U-DEC,None,3,Stephanie Luciano,Talita Alencar
Cory Sandhagen,Umar Nurmagomedov,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Bantamweight,U-DEC,None,5,Umar Nurmagomedov,Cory Sandhagen
Shara Magomedov,Michal Oleksiejczuk,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,U-DEC,None,3,Shara Magomedov,Michal Oleksiejczuk
Marlon Vera,Deiveson Figueiredo,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Bantamweight,U-DEC,None,3,Deiveson Figueiredo,Marlon Vera
Tony Ferguson,Michael Chiesa,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Welterweight,SUB,Rear Naked Choke,1,Michael Chiesa,Tony Ferguson
Mackenzie Dern,Loopy Godinez,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Women's Strawweight,U-DEC,None,3,Mackenzie Dern,Loopy Godinez
Joel Alvarez,Elves Brener,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Lightweight,KO/TKO,Knees,3,Joel Alvarez,Elves Brener
Azamat Murzakanov,Alonzo Menifield,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Light Heavyweight,KO/TKO,Punches,2,Azamat Murzakanov,Alonzo Menifield
Mohammad Yahya,Kaue Fernandes,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Lightweight,KO/TKO,Punches,1,Kaue Fernandes,Mohammad Yahya
Shamil Gaziev,Don'Tale Mayes,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Heavyweight,U-DEC,None,3,Shamil Gaziev,Don'Tale Mayes
Guram Kutateladze,Jordan Vucenic,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Lightweight,U-DEC,None,3,Guram Kutateladze,Jordan Vucenic
Viktoriia Dudakova,Sam Hughes,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Women's Strawweight,S-DEC,None,3,Sam Hughes,Viktoriia Dudakova
Jai Herbert,Rolando Bedoya,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Lightweight,U-DEC,None,3,Jai Herbert,Rolando Bedoya
Sedriques Dumas,Denis Tiuliulin,8/3/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,U-DEC,None,3,Sedriques Dumas,Denis Tiuliulin
Leon Edwards,Belal Muhammad,7/27/24,"Manchester, England, United Kingdom",Blue,Welterweight,U-DEC,None,5,Belal Muhammad,Leon Edwards
Tom Aspinall,Curtis Blaydes,7/27/24,"Manchester, England, United Kingdom",Red,Heavyweight,KO/TKO,Punch,1,Tom Aspinall,Curtis Blaydes
King Green,Paddy Pimblett,7/27/24,"Manchester, England, United Kingdom",Blue,Lightweight,SUB,Triangle Choke,1,Paddy Pimblett,King Green
Christian Leroy Duncan,Gregory Rodrigues,7/27/24,"Manchester, England, United Kingdom",Blue,Middleweight,U-DEC,None,3,Gregory Rodrigues,Christian Leroy Duncan
Arnold Allen,Giga Chikadze,7/27/24,"Manchester, England, United Kingdom",Red,Featherweight,U-DEC,None,3,Arnold Allen,Giga Chikadze
Nathaniel Wood,Daniel Pineda,7/27/24,"Manchester, England, United Kingdom",Red,Featherweight,U-DEC,None,3,Nathaniel Wood,Daniel Pineda
Molly McCann,Bruna Brasil,7/27/24,"Manchester, England, United Kingdom",Blue,Women's Strawweight,U-DEC,None,3,Bruna Brasil,Molly McCann
Jake Hadley,Caolan Loughran,7/27/24,"Manchester, England, United Kingdom",Red,Bantamweight,U-DEC,None,3,Jake Hadley,Caolan Loughran
Muhammad Mokaev,Manel Kape,7/27/24,"Manchester, England, United Kingdom",Red,Flyweight,U-DEC,None,3,Muhammad Mokaev,Manel Kape
Oban Elliott,Preston Parsons,7/27/24,"Manchester, England, United Kingdom",Red,Welterweight,U-DEC,None,3,Oban Elliott,Preston Parsons
Modestas Bukauskas,Marcin Prachnio,7/27/24,"Manchester, England, United Kingdom",Red,Light Heavyweight,SUB,Arm Triangle,3,Modestas Bukauskas,Marcin Prachnio
Sam Patterson,Kiefer Crosbie,7/27/24,"Manchester, England, United Kingdom",Red,Welterweight,SUB,Arm Triangle,1,Sam Patterson,Kiefer Crosbie
Mick Parkin,Lukasz Brzeski,7/27/24,"Manchester, England, United Kingdom",Red,Heavyweight,KO/TKO,Punches,1,Mick Parkin,Lukasz Brzeski
Shauna Bannon,Alice Ardelean,7/27/24,"Manchester, England, United Kingdom",Red,Women's Strawweight,S-DEC,None,3,Shauna Bannon,Alice Ardelean
Amanda Lemos,Virna Jandiroba,7/20/24,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,SUB,Armbar,2,Virna Jandiroba,Amanda Lemos
Steve Garcia,SeungWoo Choi,7/20/24,"Las Vegas, Nevada, USA",Red,Featherweight,KO/TKO,Punch,1,Steve Garcia,SeungWoo Choi
Kurt Holobaugh,Kaynan Kruschewsky,7/20/24,"Las Vegas, Nevada, USA",Red,Lightweight,U-DEC,None,3,Kurt Holobaugh,Kaynan Kruschewsky
Cody Durden,Bruno Silva,7/20/24,"Las Vegas, Nevada, USA",Blue,Flyweight,KO/TKO,Punches,2,Bruno Silva,Cody Durden
Dooho Choi,Bill Algeo,7/20/24,"Las Vegas, Nevada, USA",Red,Featherweight,KO/TKO,Punch,2,Dooho Choi,Bill Algeo
JeongYeong Lee,Hyder Amil,7/20/24,"Las Vegas, Nevada, USA",Blue,Featherweight,KO/TKO,Punches,1,Hyder Amil,JeongYeong Lee
Brian Kelleher,Cody Gibson,7/20/24,"Las Vegas, Nevada, USA",Blue,Bantamweight,SUB,Arm Triangle,1,Cody Gibson,Brian Kelleher
Miranda Maverick,Dione Barbosa,7/20/24,"Las Vegas, Nevada, USA",Red,Women's Flyweight,U-DEC,None,3,Miranda Maverick,Dione Barbosa
Loik Radzhabov,Trey Ogden,7/20/24,"Las Vegas, Nevada, USA",Blue,Lightweight,U-DEC,None,3,Trey Ogden,Loik Radzhabov
Luana Carolina,Lucie Pudilova,7/20/24,"Las Vegas, Nevada, USA",Red,Women's Flyweight,U-DEC,None,3,Luana Carolina,Lucie Pudilova
Mohammed Usman,Thomas Petersen,7/20/24,"Las Vegas, Nevada, USA",Blue,Heavyweight,U-DEC,None,3,Thomas Petersen,Mohammed Usman
Rose Namajunas,Tracy Cortez,7/13/24,"Denver, Colorado, USA",Red,Women's Flyweight,U-DEC,None,5,Rose Namajunas,Tracy Cortez
Santiago Ponzinibbio,Muslim Salikhov,7/13/24,"Denver, Colorado, USA",Blue,Welterweight,S-DEC,None,3,Muslim Salikhov,Santiago Ponzinibbio
Drew Dober,Jean Silva,7/13/24,"Denver, Colorado, USA",Blue,Lightweight,KO/TKO,None,3,Jean Silva,Drew Dober
Gabriel Bonfim,Ange Loosa,7/13/24,"Denver, Colorado, USA",Red,Welterweight,U-DEC,None,3,Gabriel Bonfim,Ange Loosa
Julian Erosa,Christian Rodriguez,7/13/24,"Denver, Colorado, USA",Red,Featherweight,SUB,Guillotine Choke,1,Julian Erosa,Christian Rodriguez
Joshua Van,Charles Johnson,7/13/24,"Denver, Colorado, USA",Blue,Flyweight,KO/TKO,Punch,3,Charles Johnson,Joshua Van
Jasmine Jasudavicius,Fatima Kline,7/13/24,"Denver, Colorado, USA",Red,Women's Flyweight,U-DEC,None,3,Jasmine Jasudavicius,Fatima Kline
Montel Jackson,Da'Mon Blackshear,7/13/24,"Denver, Colorado, USA",Red,Bantamweight,KO/TKO,Punch,1,Montel Jackson,Da'Mon Blackshear
Luana Santos,Mariya Agapova,7/13/24,"Denver, Colorado, USA",Red,Women's Flyweight,SUB,Rear Naked Choke,1,Luana Santos,Mariya Agapova
Josh Fremd,Andre Petroski,7/13/24,"Denver, Colorado, USA",Blue,Middleweight,U-DEC,None,3,Andre Petroski,Josh Fremd
Evan Elder,Darrius Flowers,7/13/24,"Denver, Colorado, USA",Red,Welterweight,SUB,Arm Triangle,2,Evan Elder,Darrius Flowers
Alex Pereira,Jiri Prochazka,6/29/24,"Las Vegas, Nevada, USA",Red,Light Heavyweight,KO/TKO,Kick,2,Alex Pereira,Jiri Prochazka
Dan Ige,Diego Lopes,6/29/24,"Las Vegas, Nevada, USA",Blue,Catch Weight,U-DEC,None,3,Diego Lopes,Dan Ige
Anthony Smith,Roman Dolidze,6/29/24,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,U-DEC,None,3,Roman Dolidze,Anthony Smith
Mayra Bueno Silva,Macy Chiasson,6/29/24,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,KO/TKO,None,2,Macy Chiasson,Mayra Bueno Silva
Ian Machado Garry,Michael Page,6/29/24,"Las Vegas, Nevada, USA",Red,Welterweight,U-DEC,None,3,Ian Machado Garry,Michael Page
Joe Pyfer,Marc-Andre Barriault,6/29/24,"Las Vegas, Nevada, USA",Red,Middleweight,KO/TKO,Punch,1,Joe Pyfer,Marc-Andre Barriault
Cub Swanson,Andre Fili,6/29/24,"Las Vegas, Nevada, USA",Blue,Featherweight,S-DEC,None,3,Andre Fili,Cub Swanson
Charles Jourdain,Jean Silva,6/29/24,"Las Vegas, Nevada, USA",Blue,Featherweight,KO/TKO,Punch,2,Jean Silva,Charles Jourdain
Payton Talbott,Yanis Ghemmouri,6/29/24,"Las Vegas, Nevada, USA",Red,Bantamweight,KO/TKO,Punch,1,Payton Talbott,Yanis Ghemmouri
Michelle Waterson-Gomez,Gillian Robertson,6/29/24,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,U-DEC,None,3,Gillian Robertson,Michelle Waterson-Gomez
Andrei Arlovski,Martin Buday,6/29/24,"Las Vegas, Nevada, USA",Blue,Heavyweight,S-DEC,None,3,Martin Buday,Andrei Arlovski
Rei Tsuruya,Carlos Hernandez,6/29/24,"Las Vegas, Nevada, USA",Red,Flyweight,U-DEC,None,3,Rei Tsuruya,Carlos Hernandez
Ricky Simon,Vinicius Oliveira,6/29/24,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Vinicius Oliveira,Ricky Simon
Robert Whittaker,Ikram Aliskerov,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Red,Middleweight,KO/TKO,Punch,1,Robert Whittaker,Ikram Aliskerov
Sergei Pavlovich,Alexander Volkov,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Blue,Heavyweight,U-DEC,None,3,Alexander Volkov,Sergei Pavlovich
Kelvin Gastelum,Daniel Rodriguez,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Red,Middleweight,U-DEC,None,3,Kelvin Gastelum,Daniel Rodriguez
Shara Magomedov,Antonio Trocoli,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Red,Middleweight,KO/TKO,Punches,3,Shara Magomedov,Antonio Trocoli
Johnny Walker,Volkan Oezdemir,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Blue,Light Heavyweight,KO/TKO,Punch,1,Volkan Oezdemir,Johnny Walker
Nasrat Haqparast,Jared Gordon,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Red,Lightweight,S-DEC,None,3,Nasrat Haqparast,Jared Gordon
Muhammad Naimov,Felipe Lima,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Blue,Featherweight,SUB,Rear Naked Choke,3,Felipe Lima,Muhammad Naimov
Rinat Fakhretdinov,Nicolas Dalby,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Red,Welterweight,S-DEC,None,3,Rinat Fakhretdinov,Nicolas Dalby
Kyung Ho Kang,Muin Gafurov,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Blue,Bantamweight,U-DEC,None,3,Muin Gafurov,Kyung Ho Kang
Magomed Gadzhiyasulov,Brendson Ribeiro,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Red,Light Heavyweight,M-DEC,None,3,Magomed Gadzhiyasulov,Brendson Ribeiro
Xiao Long,ChangHo Lee,6/22/24,"Riyadh, Riyadh, Saudi Arabia",Blue,Bantamweight,S-DEC,None,3,ChangHo Lee,Xiao Long
Alex Perez,Tatsuro Taira,6/15/24,"Las Vegas, Nevada, USA",Blue,Flyweight,KO/TKO,None,2,Tatsuro Taira,Alex Perez
Douglas Silva de Andrade,Miles Johns,6/15/24,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Miles Johns,Douglas Silva de Andrade
Timmy Cuamba,Lucas Almeida,6/15/24,"Las Vegas, Nevada, USA",Blue,Featherweight,U-DEC,None,3,Lucas Almeida,Timmy Cuamba
Brady Hiestand,Garrett Armfield,6/15/24,"Las Vegas, Nevada, USA",Red,Bantamweight,SUB,Rear Naked Choke,3,Brady Hiestand,Garrett Armfield
Asu Almabayev,Jose Johnson,6/15/24,"Las Vegas, Nevada, USA",Red,Flyweight,U-DEC,None,3,Asu Almabayev,Jose Johnson
Josh Quinlan,Adam Fugitt,6/15/24,"Las Vegas, Nevada, USA",Blue,Welterweight,S-DEC,None,3,Adam Fugitt,Josh Quinlan
Jimmy Flick,Nate Maness,6/15/24,"Las Vegas, Nevada, USA",Blue,Flyweight,U-DEC,None,3,Nate Maness,Jimmy Flick
Carli Judice,Gabriella Fernandes,6/15/24,"Las Vegas, Nevada, USA",Blue,Women's Flyweight,S-DEC,None,3,Gabriella Fernandes,Carli Judice
Jeka Saragih,Westin Wilson,6/15/24,"Las Vegas, Nevada, USA",Blue,Featherweight,SUB,Triangle Armbar,1,Westin Wilson,Jeka Saragih
Melquizael Costa,Shayilan Nuerdanbieke,6/15/24,"Las Vegas, Nevada, USA",Red,Featherweight,SUB,Rear Naked Choke,3,Melquizael Costa,Shayilan Nuerdanbieke
Josefine Knutsson,Julia Polastri,6/15/24,"Las Vegas, Nevada, USA",Red,Women's Strawweight,U-DEC,None,3,Josefine Knutsson,Julia Polastri
Jared Cannonier,Nassourdine Imavov,6/8/24,"Louisville, Kentucky, USA",Blue,Middleweight,KO/TKO,Punches,4,Nassourdine Imavov,Jared Cannonier
Dominick Reyes,Dustin Jacoby,6/8/24,"Louisville, Kentucky, USA",Red,Light Heavyweight,KO/TKO,Punches,1,Dominick Reyes,Dustin Jacoby
Raul Rosas Jr.,Ricky Turcios,6/8/24,"Louisville, Kentucky, USA",Red,Bantamweight,SUB,Rear Naked Choke,2,Raul Rosas Jr.,Ricky Turcios
Brunno Ferreira,Dustin Stoltzfus,6/8/24,"Louisville, Kentucky, USA",Red,Middleweight,KO/TKO,Spinning Back Elbow,1,Brunno Ferreira,Dustin Stoltzfus
Julian Marquez,Zachary Reese,6/8/24,"Louisville, Kentucky, USA",Blue,Middleweight,KO/TKO,Punch,1,Zachary Reese,Julian Marquez
Miguel Baeza,Punahele Soriano,6/8/24,"Louisville, Kentucky, USA",Blue,Welterweight,U-DEC,None,3,Punahele Soriano,Miguel Baeza
Thiago Moises,Ludovit Klein,6/8/24,"Louisville, Kentucky, USA",Blue,Lightweight,U-DEC,None,3,Ludovit Klein,Thiago Moises
Charles Radtke,Carlos Prates,6/8/24,"Louisville, Kentucky, USA",Blue,Welterweight,KO/TKO,Knee,1,Carlos Prates,Charles Radtke
Brad Katona,Jesse Butler,6/8/24,"Louisville, Kentucky, USA",Red,Bantamweight,U-DEC,None,3,Brad Katona,Jesse Butler
Andrea Lee,Montana De La Rosa,6/8/24,"Louisville, Kentucky, USA",Blue,Women's Flyweight,S-DEC,None,3,Montana De La Rosa,Andrea Lee
John Castaneda,Daniel Marcos,6/8/24,"Louisville, Kentucky, USA",Blue,Bantamweight,U-DEC,None,3,Daniel Marcos,John Castaneda
Eduarda Moura,Denise Gomes,6/8/24,"Louisville, Kentucky, USA",Blue,Women's Strawweight,S-DEC,None,3,Denise Gomes,Eduarda Moura
Cody Stamann,Taylor Lapilus,6/8/24,"Louisville, Kentucky, USA",Blue,Bantamweight,U-DEC,None,3,Taylor Lapilus,Cody Stamann
Rayanne dos Santos,Puja Tomar,6/8/24,"Louisville, Kentucky, USA",Blue,Women's Strawweight,S-DEC,None,3,Puja Tomar,Rayanne dos Santos
Islam Makhachev,Dustin Poirier,6/1/24,"Newark, New Jersey, USA",Red,Lightweight,SUB,D'Arce Choke,5,Islam Makhachev,Dustin Poirier
Sean Strickland,Paulo Costa,6/1/24,"Newark, New Jersey, USA",Red,Middleweight,S-DEC,None,5,Sean Strickland,Paulo Costa
Kevin Holland,Michal Oleksiejczuk,6/1/24,"Newark, New Jersey, USA",Red,Middleweight,SUB,Armbar,1,Kevin Holland,Michal Oleksiejczuk
Niko Price,Alex Morono,6/1/24,"Newark, New Jersey, USA",Red,Welterweight,U-DEC,None,3,Niko Price,Alex Morono
Randy Brown,Elizeu Zaleski dos Santos,6/1/24,"Newark, New Jersey, USA",Red,Welterweight,U-DEC,None,3,Randy Brown,Elizeu Zaleski dos Santos
Cesar Almeida,Roman Kopylov,6/1/24,"Newark, New Jersey, USA",Blue,Middleweight,S-DEC,None,3,Roman Kopylov,Cesar Almeida
Jailton Almeida,Alexandr Romanov,6/1/24,"Newark, New Jersey, USA",Red,Heavyweight,SUB,Rear Naked Choke,1,Jailton Almeida,Alexandr Romanov
Grant Dawson,Joe Solecki,6/1/24,"Newark, New Jersey, USA",Red,Lightweight,U-DEC,None,3,Grant Dawson,Joe Solecki
Phil Rowe,Jake Matthews,6/1/24,"Newark, New Jersey, USA",Blue,Welterweight,U-DEC,None,3,Jake Matthews,Phil Rowe
Mickey Gall,Bassil Hafez,6/1/24,"Newark, New Jersey, USA",Blue,Welterweight,U-DEC,None,3,Bassil Hafez,Mickey Gall
Ailin Perez,Joselyne Edwards,6/1/24,"Newark, New Jersey, USA",Red,Women's Bantamweight,U-DEC,None,3,Ailin Perez,Joselyne Edwards
Mitch Raposo,Andre Lima,6/1/24,"Newark, New Jersey, USA",Blue,Flyweight,S-DEC,None,3,Andre Lima,Mitch Raposo
Edson Barboza,Lerone Murphy,5/18/24,"Las Vegas, Nevada, USA",Blue,Featherweight,U-DEC,None,5,Lerone Murphy,Edson Barboza
Khaos Williams,Carlston Harris,5/18/24,"Las Vegas, Nevada, USA",Red,Welterweight,KO/TKO,Punch,1,Khaos Williams,Carlston Harris
Themba Gorimbo,Ramiz Brahimaj,5/18/24,"Las Vegas, Nevada, USA",Red,Welterweight,U-DEC,None,3,Themba Gorimbo,Ramiz Brahimaj
Adrian Yanez,Vinicius Salvador,5/18/24,"Las Vegas, Nevada, USA",Red,Bantamweight,KO/TKO,Punches,1,Adrian Yanez,Vinicius Salvador
Luana Pinheiro,Angela Hill,5/18/24,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,SUB,Guillotine Choke,2,Angela Hill,Luana Pinheiro
Victor Martinez,Tom Nolan,5/18/24,"Las Vegas, Nevada, USA",Blue,Lightweight,KO/TKO,Knee,1,Tom Nolan,Victor Martinez
Oumar Sy,Tuco Tokkos,5/18/24,"Las Vegas, Nevada, USA",Red,Light Heavyweight,SUB,Rear Naked Choke,1,Oumar Sy,Tuco Tokkos
Tamires Vidal,Melissa Gatto,5/18/24,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,KO/TKO,Punch,3,Melissa Gatto,Tamires Vidal
Abus Magomedov,Warlley Alves,5/18/24,"Las Vegas, Nevada, USA",Red,Middleweight,U-DEC,None,3,Abus Magomedov,Warlley Alves
Piera Rodriguez,Ariane Carnelossi,5/18/24,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,DQ,None,2,Ariane Carnelossi,Piera Rodriguez
Alatengheili,Kleydson Rodrigues,5/18/24,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Alatengheili,Kleydson Rodrigues
Vanessa Demopoulos,Emily Ducote,5/18/24,"Las Vegas, Nevada, USA",Red,Women's Strawweight,S-DEC,None,3,Vanessa Demopoulos,Emily Ducote
Derrick Lewis,Rodrigo Nascimento,5/11/24,"St. Louis, Missouri, USA",Red,Heavyweight,KO/TKO,Punch,3,Derrick Lewis,Rodrigo Nascimento
Joaquin Buckley,Nursulton Ruziboev,5/11/24,"St. Louis, Missouri, USA",Red,Welterweight,U-DEC,None,3,Joaquin Buckley,Nursulton Ruziboev
Alonzo Menifield,Carlos Ulberg,5/11/24,"St. Louis, Missouri, USA",Blue,Light Heavyweight,KO/TKO,Punches,1,Carlos Ulberg,Alonzo Menifield
Diego Ferreira,Mateusz Rebecki,5/11/24,"St. Louis, Missouri, USA",Red,Lightweight,KO/TKO,Punches,3,Diego Ferreira,Mateusz Rebecki
Alex Caceres,Sean Woodson,5/11/24,"St. Louis, Missouri, USA",Blue,Featherweight,U-DEC,None,3,Sean Woodson,Alex Caceres
Waldo Cortes-Acosta,Robelis Despaigne,5/11/24,"St. Louis, Missouri, USA",Red,Heavyweight,U-DEC,None,3,Waldo Cortes-Acosta,Robelis Despaigne
Chase Hooper,Viacheslav Borshchev,5/11/24,"St. Louis, Missouri, USA",Red,Lightweight,SUB,D'Arce Choke,2,Chase Hooper,Viacheslav Borshchev
Terrance McKinney,Esteban Ribovics,5/11/24,"St. Louis, Missouri, USA",Blue,Lightweight,KO/TKO,Kick,1,Esteban Ribovics,Terrance McKinney
Tabatha Ricci,Tecia Pennington,5/11/24,"St. Louis, Missouri, USA",Red,Women's Strawweight,S-DEC,None,3,Tabatha Ricci,Tecia Pennington
Billy Ray Goff,Trey Waters,5/11/24,"St. Louis, Missouri, USA",Blue,Welterweight,U-DEC,None,3,Trey Waters,Billy Ray Goff
Charles Johnson,Jake Hadley,5/11/24,"St. Louis, Missouri, USA",Red,Flyweight,U-DEC,None,3,Charles Johnson,Jake Hadley
JJ Aldrich,Veronica Hardy,5/11/24,"St. Louis, Missouri, USA",Blue,Women's Flyweight,U-DEC,None,3,Veronica Hardy,JJ Aldrich
Alexandre Pantoja,Steve Erceg,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Flyweight,U-DEC,None,5,Alexandre Pantoja,Steve Erceg
Jose Aldo,Jonathan Martinez,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Bantamweight,U-DEC,None,3,Jose Aldo,Jonathan Martinez
Anthony Smith,Vitor Petrino,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Light Heavyweight,SUB,Guillotine Choke,1,Anthony Smith,Vitor Petrino
Michel Pereira,Ihor Potieria,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Middleweight,SUB,Guillotine Choke,1,Michel Pereira,Ihor Potieria
Paul Craig,Caio Borralho,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Middleweight,KO/TKO,Punches,2,Caio Borralho,Paul Craig
Jack Shore,Joanderson Brito,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Featherweight,KO/TKO,None,2,Joanderson Brito,Jack Shore
Karolina Kowalkiewicz,Iasmin Lucindo,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Women's Strawweight,U-DEC,None,3,Iasmin Lucindo,Karolina Kowalkiewicz
Elves Brener,Myktybek Orolbai,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Lightweight,U-DEC,None,3,Myktybek Orolbai,Elves Brener
Joaquim Silva,Drakkar Klose,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Lightweight,U-DEC,None,3,Drakkar Klose,Joaquim Silva
Mauricio Ruffy,Jamie Mullarkey,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Lightweight,KO/TKO,Punches,1,Mauricio Ruffy,Jamie Mullarkey
Dione Barbosa,Ernesta Kareckaite,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Women's Flyweight,U-DEC,None,3,Dione Barbosa,Ernesta Kareckaite
Ismael Bonfim,Vinc Pichel,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Lightweight,U-DEC,None,3,Ismael Bonfim,Vinc Pichel
Alessandro Costa,Kevin Borjas,5/4/24,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Flyweight,KO/TKO,Punches,2,Alessandro Costa,Kevin Borjas
Matheus Nicolau,Alex Perez,4/27/24,"Las Vegas, Nevada, USA",Blue,Flyweight,KO/TKO,Punch,2,Alex Perez,Matheus Nicolau
Ryan Spann,Bogdan Guskov,4/27/24,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,KO/TKO,Punches,2,Bogdan Guskov,Ryan Spann
Ariane da Silva,Karine Silva,4/27/24,"Las Vegas, Nevada, USA",Blue,Women's Flyweight,U-DEC,None,3,Karine Silva,Ariane da Silva
